"Source:","C:\Users\leabe\Documents\5A\MOSH\Arduino_UNO\Arduino_UNO.kicad_sch"
"Date:","06/01/2025 14:32:44"
"Tool:","Eeschema 7.0.8"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","25"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2, C3","3","100n","C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","Unpolarized capacitor","",""
"C4","1","1u","C","Capacitor_THT:C_Rect_L7.5mm_W6.5mm_P5.00mm","Unpolarized capacitor","",""
"D1","1","LED_Verte","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D2","1","LED_Jaune","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D3","1","LED_Rouge","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"J1","1","Power","Conn_01x08_1","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J2","1","Digital/PWM","Conn_01x10","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","Generic connector, single row, 01x10, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J3","1","Analog","Conn_01x06","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J4","1","Digital/PWM","Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J5","1","Connecteur LoRa","Conn_01x08_2","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"R1, R3","2","100k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R2, R6","2","1k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R4","1","100","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R5, R7","2","10k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R8, R9, R10","3","220","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"U1","1","LTC1050ACN8_PBF","LTC1050ACN8_PBF","Package_DIP:DIP-8_W7.62mm","","",""
"U2","1","DM-OLED096-636","DM-OLED096-636","DM-OLED096-636:MODULE_DM-OLED096-636","","",""
"U3","1","Gaz_Sensor","Gaz_Sensor","Package_TO_SOT_THT:TO-5-10_Window","","",""
